run_id,timestamp,model,n_test,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,roc_auc_macro_ovr,inference_latency_us_per_sample,experiment,tag,track,model_kind,n_features,train_fraction,n_train_rows
20260916_114036,2026-09-16T11:49:46,watai_all46_xgboost,9339,0.9900417603597815,0.8487867372234598,0.8166430592999474,0.8240122502902818,0.9911081272534951,0.9900417603597815,0.990402031504617,0.9982539528715157,27.90829853299705,exp1_dataset_comparison,watai_all46,heavy,xgboost,43,,
20260916_114036,2026-09-16T11:49:50,watai_all46_lightgbm,9339,0.9910054609701253,0.8569081749676294,0.752883248376504,0.7725919117314668,0.9914033185216939,0.9910054609701253,0.9910196567877037,0.9984995159879309,21.172598779252816,exp1_dataset_comparison,watai_all46,heavy,lightgbm,43,,
20260916_114036,2026-09-16T11:49:56,watai_all46_catboost,9339,0.9872577363743441,0.6421163669177975,0.6876432858931996,0.659833122666293,0.9889391496524169,0.9872577363743441,0.9877885009255213,0.9968040875431989,2.0376592781892713,exp1_dataset_comparison,watai_all46,heavy,catboost,43,,
20260916_114036,2026-09-16T11:49:57,watai_all46_random_forest,9339,0.9822250776314381,0.620711051949943,0.6682846999465376,0.6374608701867547,0.9857989015282296,0.9822250776314381,0.983573905593856,0.995711549230323,8.061762501406477,exp1_dataset_comparison,watai_all46,heavy,random_forest,43,,
20260916_114036,2026-09-16T11:49:58,watai_all46_decision_tree,9339,0.9748367062854696,0.7390300458656469,0.8101640564556627,0.7426890405931673,0.9829560272608907,0.9748367062854696,0.97802896032517,0.926439851814175,0.40027840250058133,exp1_dataset_comparison,watai_all46,lite,decision_tree,43,,
20260916_114036,2026-09-16T11:49:59,watai_all46_random_forest_lite,9339,0.9805118321019382,0.62250981476217,0.6842100024734654,0.6430048669936557,0.9854513086792934,0.9805118321019382,0.9824572602111026,0.9834459224261424,3.559888638970918,exp1_dataset_comparison,watai_all46,lite,random_forest_lite,43,,
20260916_114036,2026-09-16T11:50:01,watai_all46_logistic_regression,9339,0.6795160081379162,0.45290192107226596,0.5290351445634791,0.45202679958400827,0.8418023592355727,0.6795160081379162,0.7138643099331728,0.8846111237941625,0.38333868728033654,exp1_dataset_comparison,watai_all46,lite,logistic_regression,43,,
20260916_114036,2026-09-16T11:50:01,watai_all46_extra_trees,9339,0.6336866902237926,0.5480738187130731,0.5740894087437708,0.5184862150270544,0.8703329314721333,0.6336866902237926,0.6683541564058588,0.9757925581147877,3.6095299283209212,exp1_dataset_comparison,watai_all46,lite,extra_trees,43,,
20260916_114036,2026-09-16T11:50:47,merged_all39_xgboost,8686,0.7695141607183974,0.6208149740545952,0.6731066223769661,0.6324344853742023,0.8467196087173038,0.7695141607183974,0.7890225303603698,0.970277312396653,11.280439788208291,exp1_dataset_comparison,merged_all39,heavy,xgboost,39,,
20260916_114036,2026-09-16T11:50:51,merged_all39_lightgbm,8686,0.7576559981579554,0.5853221190290254,0.6021275359359097,0.5850197258024203,0.8333174199215814,0.7576559981579554,0.7777764506074029,0.9655656868198592,29.557978356164977,exp1_dataset_comparison,merged_all39,heavy,lightgbm,39,,
