feature,scope,watai_mean,merged_mean,watai_std,merged_std,watai_median,merged_median,watai_min,merged_min,watai_max,merged_max,watai_skew,merged_skew,standardized_mean_diff,ks_statistic,ks_pvalue
IAT,all_rows,83210163.07876728,0.0013703175219593484,21262270.67217822,0.049399163973026364,83106424.0,7.704019662924111e-05,0.0,1.5894572413799324e-07,167639424.0,18.112327575683594,0.02174678914036546,307.6758337323503,5.53454252208879,0.967565,0.0
Number,all_rows,9.49982689303875,91.0774,1.0216488648962032,26.844097847385374,9.5,100.0,1.5,2.0,14.5,100.0,-0.021033209506872406,-2.682881579492979,-4.2945994571142645,0.96716,0.0
Header_Length,all_rows,121166.68516779545,14.064496220669449,577678.336001075,9.039204901618549,108.0,19.799999237060547,0.0,0.0,9788621.0,60.0,7.6920858832649746,-0.11606356014229949,0.2965935687252257,0.8747950000000001,0.0
Tot sum,all_rows,1643.030605109253,15650.34551,3131.0372846310497,22715.47351137508,567.0,6006.0,63.0,120.0,69513.3984375,290884.0,4.982537483108633,2.2379107540771055,-0.8638954705671835,0.8445600000000001,0.0
Min,all_rows,105.97620399663926,96.775475,162.12880472729557,146.65527359602305,54.0,60.0,42.0,42.0,4844.39990234375,2974.0,4.702136849956971,5.806426174844008,0.05951860373015415,0.80903,0.0
AVG,all_rows,156.8879844102478,200.88632089029312,290.3110790147163,309.73045190761616,54.0,60.189998626708984,42.0,52.20000076293945,6436.56787109375,5770.7001953125,4.351523530279079,3.197150964422872,-0.1465742306939089,0.784915,0.0
Tot size,all_rows,156.85505757534028,200.88632089029312,290.2812327324391,309.73045190761616,54.0,60.189998626708984,42.0,52.20000076293945,6147.60009765625,5770.7001953125,4.242798744942968,3.197150964422872,-0.14669097452777094,0.784825,0.0
Max,all_rows,246.27186116506576,386.15794,646.6059861987142,806.9059657202667,54.0,74.0,42.0,54.0,17442.0,40610.0,7.6432886012702665,7.318035190019715,-0.19132015422772727,0.7083900000000001,0.0
Rate,all_rows,8661.648417129682,19904.740797398328,74638.45852563459,31685.77699768214,22.77690315246582,13239.595703125,0.0,0.05522679537534714,6291456.0,6291456.0,26.9349422128029,49.43739470129239,-0.19609052027771234,0.6167100000000001,0.0
Variance,all_rows,0.14927715111352502,70389.40206203608,0.27534328369825023,599410.0325082542,0.0,0.36000001430511475,0.0,0.0,1.0,84082384.0,2.2527714224895923,44.46915518298588,-0.1660723553743842,0.4804299999999999,0.0
ack_count,all_rows,0.04897431697415188,10.4727,0.2147899197070552,27.061443322742416,0.0,0.0,0.0,0.0,3.430000066757202,100.0,4.698747269774123,2.7187588798750992,-0.5447200188076678,0.39893500000000004,0.0
ack_flag_number,all_rows,0.119965,0.16657725061537232,0.32492060380191345,0.3368125685859236,0.0,0.0,0.0,0.0,1.0,1.0,2.3392483920883436,1.7736275205421828,-0.1408565493262467,0.2985150000000001,0.0
UDP,all_rows,0.319025,0.23847381904643494,0.4660987549597188,0.4037981179907601,0.0,0.0,0.0,0.0,1.0,1.0,0.7765521708619034,1.2373780772809972,0.1847239444218052,0.22095999999999993,0.0
syn_count,all_rows,0.4289891129627731,19.4539,0.7682599172924321,38.78646844957658,0.0,0.0,0.0,0.0,8.0,100.0,1.8386746990591638,1.5379205549233383,-0.693541116235697,0.20805000000000007,0.0
rst_count,all_rows,60.316548827230946,7.347905,407.8647399952043,24.68055078621575,0.0,0.0,0.0,0.0,9071.5,100.0,10.235888334682006,3.331125334137976,0.18332598345356113,0.20165500000000003,0.0
HTTPS,all_rows,0.067615,0.09571284880242777,0.25108407312093695,0.26875197866384076,0.0,0.0,0.0,0.0,1.0,1.0,3.444145179146728,2.761906581411527,-0.10804034916769865,0.19789500000000004,0.0
Std,all_rows,51.50769146852601,83.45266422125607,198.18577465642787,251.84331400552875,0.0,0.6000000238418579,0.0,0.0,4920.50244140625,9169.64453125,6.579785359007008,6.368117618836039,-0.14096999429301008,0.19104500000000002,0.0
psh_flag_number,all_rows,0.063885,0.09555741194726433,0.24454796416040758,0.26412498616610963,0.0,0.0,0.0,0.0,1.0,1.0,3.5667031741383637,2.8301224909649427,-0.12443744548354346,0.18825999999999998,0.0
TCP,all_rows,0.528995,0.5581309926535795,0.4991585819907337,0.4774962214233634,1.0,0.9700000286102295,0.0,0.0,1.0,1.0,-0.11617550432314609,-0.24315799468736288,-0.05965020256976459,0.18044500000000002,0.0
ARP,all_rows,9.5e-05,0.00539966593098361,0.00974633136108146,0.0260625209021845,0.0,0.0,0.0,0.0,1.0,1.0,102.58321443824383,10.703960649213688,-0.26960848725541636,0.170045,0.0
IPv,all_rows,0.999845,0.9946003354853764,0.012448934693378386,0.02606252057294299,1.0,1.0,0.0,0.0,1.0,1.0,-80.303256834638,-10.703960720929643,0.25679677228672165,0.16998500000000002,0.0
LLC,all_rows,0.999845,0.9946003354853764,0.012448934693378386,0.02606252057294299,1.0,1.0,0.0,0.0,1.0,1.0,-80.303256834638,-10.703960720929643,0.25679677228672165,0.16998500000000002,0.0
syn_flag_number,all_rows,0.23552,0.19939540274156722,0.42432337856875146,0.388724256547947,0.0,0.0,0.0,0.0,1.0,1.0,1.246596409050544,1.5064507161125544,0.08877713440230446,0.14065000000000005,0.0
DNS,all_rows,0.00021,0.0053438040458178146,0.014489855071738984,0.03144966283100786,0.0,0.0,0.0,0.0,1.0,0.9100000262260437,68.9848169668433,10.444205110728934,-0.2096708030268265,0.12188500000000002,0.0
ICMP,all_rows,0.08827,0.11579413037900813,0.2836871641438858,0.3122682416483924,0.0,0.0,0.0,0.0,1.0,1.0,2.90270447196667,2.4182136438730093,-0.09226372216893607,0.112425,0.0
fin_count,all_rows,0.0630559496218292,6.23118,0.33489690469196953,23.896953693046317,0.0,0.0,0.0,0.0,75.19999694824219,100.0,107.57977542713901,3.6335928959093162,-0.3649916357594461,0.09601000000000004,0.0
rst_flag_number,all_rows,0.04878,0.07579929186876863,0.21540777980379444,0.24923885610820046,0.0,0.0,0.0,0.0,1.0,1.0,4.1894494285303585,3.2630495436926927,-0.11599333344617091,0.08832499999999999,0.0
HTTP,all_rows,0.04614,0.06654546304803807,0.2097882275057397,0.2403122821830926,0.0,0.0,0.0,0.0,1.0,1.0,4.326839550494633,3.5184740928576894,-0.09046291332368493,0.07579499999999995,0.0
fin_flag_number,all_rows,0.04269,0.06397487117337994,0.2021572751597132,0.23929366674009067,0.0,0.0,0.0,0.0,1.0,1.0,4.524299208511836,3.6057076556854355,-0.09609201196257285,0.07539000000000007,0.0
DHCP,all_rows,5e-06,0.00037224178749136627,0.0022360623873228583,0.007047439994786724,0.0,0.0,0.0,0.0,1.0,0.4000000059604645,447.21024139100405,35.75656618708367,-0.0702436241852392,0.011299999999999977,1.6086279625896618e-11
SSH,all_rows,6e-05,0.00041612576144747435,0.007745734309928271,0.010545733184621028,0.0,0.0,0.0,0.0,1.0,1.0,129.087825633056,51.30152695411604,-0.038490649087402955,0.0062550000000000106,0.0007958669667848591
